ID,State,Capital,Population
1,Alabama,Montgomery,4859000
2,Alaska,Juneau,738400
3,Arizona,Phoenix,6828000
4,Arkansas,Little Rock,2978000
5,California,Sacramento,39145000
6,Colorado,Denver,5456500
7,Connecticut,Hartford,3590000
8,Delaware,Dover,946000
9,Florida,Tallahassee,20271000
10,Georgia,Atlanta,10215000
11,Hawaii,Honolulu,1431000
12,Idaho,Boise,1655000
13,Illinois,Springfield,12860000
14,Indiana,Indianapolis,6619000
15,Iowa,Des Moines,3124000
16,Kansas,Topeka,2911000
17,Kentucky,Frankfort,4425000
18,Louisiana,Baton Rouge,4671000
19,Maine,Augusta,1329000
20,Maryland,Annapolis,6006000
21,Massachusetts,Boston,6794000
22,Michigan,Lansing,9922000
23,Minnesota,St. Paul,5489000
24,Mississippi,Jackson,2992000
25,Missouri,Jefferson City,6084000
26,Montana,Helena,1031000
27,Nebraska,Lincoln,1896000
28,Nevada,Carson City,2891000
29,New Hampshire,Concord,1330000
30,New Jersey,Trenton,8958000
31,New Mexico,Santa Fe,2085000
32,New York,Albany,19796000
33,North Carolina,Raleigh,10043000
34,North Dakota,Bismarck,757000
35,Ohio,Columbus,11613000
36,Oklahoma,Oklahoma City,3911000
37,Oregon,Salem,4029000
38,Pennsylvania,Harrisburg,12802000
39,Rhode Island,Providence,1056000
40,South Carolina,Columbia,4896000
41,South Dakota,Pierre,858500
42,Tennessee,Nashville,6600000
43,Texas,Austin,27469000
44,Utah,Salt Lake City,2996000
45,Vermont,Montpelier,624600
46,Virginia,Richmond,8383000
47,Washington,Olympia,7170000
48,West Virginia,Charleston,1844000
49,Wisconsin,Madison,5771000
50,Wyoming,Cheyenne,585500
